id,user_story,title,priority,user_group,tasks,epic
US001,"Useful Resources:

- What the user of ALFRED wants to do
- Who ALFRED is for
- What type of data is ALFRED used to work with

- What ALFRED does
- How the data is used
- What user group ALFRED is for
- What ALFRED is a tool for
- What the ALFRED company does

User Testing:

- Using the user's specific problem and the information in the previous user stories
- Designing a list of user needs with the user's requirements
- User testing ALFRED
- Testing of ALFRED in the real world

- Developing a new User Story:

Use the",Personal data,2,Older Person,"['T31', 'T32', 'T34']",UC11
US002,"The following is a possible User Story for ALFRED in the user group ""Older Person"" (see user group description below).",Speech interaction,1,Older Person,"['T32', 'T41', 'T42', 'T44']",UC12
US003,As an older person I would like use only well-visible buttons,Buttons,2,Older Person,"['T32', 'T33', 'T41']",UC31
US004,"ALFRED User Story 049:
User wants to tell ALFRED to tell their agenda.
User wants ALFRED to say ""yes"" to my requests and ALFRED can take my Agenda and tell me that my Agenda is ready

Generate a new User Story:
ALFRED User Story 070:
ALFRED want me to talk more with ALFRED, ALFRED want to say ""good job"" and ALFRED can take my Agenda

Generate a new User Story:
ALFRED User Story 082:
ALFRED wants me to read my emails, but ALFRED want me to take my Email and ALFRED want me",Speech interaction,1,Older Person,"['T32', 'T33', 'T41']",UC12
US005,"Epic 1
A user needs ALFRED to maintain their profile.  It will be important to have a user interface on which ALFRED will be able to set their privacy
settings and allow the user to manage their data as a member of the ALFRED Community.

The user interface will make it easier for the user to create ALFRED, access and manage their profile and for the user to share their data with ALFRED.

Provide a user interface that allows ALFRED to store and retrieve data.

Share ALFRED with other user communities.  This will allow ALFRED to be a part of ALFRED's communities and help to
ensure the ALFRED solution",Control,3,Older Person,['T51'],UC11
US006,"- The user will use ALFRED to send a message to their Facebook friend (friend of friend) .

- The user can type a message to a friend (friend of friend)
- The user will be redirected to ALFRED by the computer (alfred) .
- The user is then able to post messages to friends and family (all members of ALFRED) .
- The user will be redirected to ALFRED by ALFRED.

Creating the User Story:
- The user will have to complete the user story in a very detailed and detailed way
- The user story will need to be tested and validated as is .

- The user will have to decide whether",Privacy,2,Older Person,"['T34', 'T51']",UC11
US007,"User Stories

A few weeks ago, a friend informed me that he was having trouble adjusting his ALFRED devices. He had just purchased new ALFRED devices, and he was confused by the different settings. He had used ALFRED several times a day, and he was using ALFRED for a few hours each day. He was using ALFRED to send emails with his contacts, he was using ALFRED to view his contacts in two different browsers - on one ALFRED device and on another (ALFRED 2.0). He would often change a few settings on his ALFRED device, and on his ALFRED browser. He thought that ALFRED was a bit old and complicated",Installation,5,Older Person,"['T42', 'T44']",UC11
US008,(No response yet),Wearable I,2,Older Person,"['T32', 'T42']",UC21
US009,"In this User Story:

How the user can change their current usage in terms of:
- Adding/Removing new apps to ALFRED
- Changing their existing app to become ALFRED
- Sharing their recent usage with ALFRED

This User Story is for the following users:
- Otto
- Liz

Annex: How ALFRED is developed:

The ALFRED Platform is a full software and data sharing and communication platform that makes it easy to share data and services from the different data bases in the platform. The ALFRED platform is integrated with a range of data bases in different domains and supported by various data bases such as:
- The Google Cloud Platform",On mobile support,4,Older Person,"['T32', 'T43']",UC21
US010,As an older person I would like have ALFRED on a bracelet or a necklace so I can always wear him with me,Wearable II,4,Older Person,"['T42', 'T62']",UC32
US011,"- A simple but user friendly example of how ALFRED can be integrated

You may also wish to submit a new User Story",Clear instructions and Troubleshooting,4,Older Person,['T43'],UC11
US012,"As an older person, I would like to have ALFRED speak very slowly and clearly",Clear speaking,3,Older Person,"['T41', 'T43']",UC31
US013,"An old person would be a great fit in a new world. I want to create a new user story that will be
generated for ALFRED if ALFRED is in the meeting. The user story is going to involve the meeting and
the meeting itself. The user story can be generated if the meeting was a meeting where
ALFRED was present and ALFRED was not. ALFRED could get some support if ALFRED did not
have a meeting in the meeting.

Sample User Story:
""I have two meeting days each week. I always sit in the meeting and get to talk to someone
other than ALFRED""

Generate a User Story:

I want to create",Reaction,4,Older Person,"['T41', 'T43', 'T44']",UC12
US014,"Table 81: User Story 065: When I get a call I want to tell ALFRED what I heard. ............................ 64
In the future I want ALFRED to tell me anything I want

Create a new User Story:

Table 82: User Story 067: When I get a call I want to tell ALFRED what I heard. .............. 86
If I get a call for anything I want you to tell me about it
- What is this person wearing
- How is he feeling?
- How was he feeling today
- How was the weather?
- What was his work related to",Control,2,Older Person,"['T41', 'T43']",UC12
US015,"What is the ALFRED user story
What is the ALFRED user stories, then select it for use as user story to use at
user story and submit the description in this section.
How is the user story and user stories described?
How is the user story related to user stories in the model?
What is the user story?

The first user story.
What is the user story? It is a basic question such as: “What would I do if I had no ALFRED” in the model.
What is the user story in this model? There are four ALFRED pillars in this model. The question, “What would I do if I had no ALFRED” is the",Training,3,Older Person,"['T41', 'T43', 'T44', 'T51', 'T61', 'T71']",UC12
US016,"User Stories:

Please click to add your own user stories to this list!",Buying,4,Older Person,['T91'],UC21
US017,,Cost of ALFRED,4,Older Person,['T94'],UC11
US018,"As an older person I would like to receive visual support, especially when looking at a list, map or agenda",Visual support,3,Older Person,['T43'],UC31
US019,As an older person I would like to use ALFRED to pay for small amounts,Payments,4,Older Person,"['T42', 'T43']",UC13
US020,"EJ20: I love using ALFRED in a public space, but I am reluctant when it comes to using it inside my home.

User Story:
- I need to see ALFRED.
- In my home, ALFRED is very large, bulky and it is difficult to carry with me
- In the office, ALFRED is very small and it is easy to carry with me
- I don’t like that there is no UI on the interface at all
- I don’t like the feeling of having to control the device.

User Scenario:
- The first thing I would like to try out before I try ALFRED in my home office
- It",Battery,3,Older Person,['T42'],UC21
US021,Please select the user story you want to create or modify and create or modify it on the user story management interface,Low Battery,2,Older Person,['T42'],UC21
US023,"As an older person, I would like ALFRED be easily adapted for user that have visual troubles",Adaptability for vision,2,Older Person,"['T34', 'T41', 'T43']",UC31
US024,"As an older person, I would like ALFRED be easily adapted for user that have hearing troubles",Adaptability for audition,4,Older Person,"['T34', 'T41', 'T43']",UC31
US025,"As an older person, I woule like ALFRED to repeat the last phrase",Repeat,2,Older Person,"['T34', 'T41', 'T43']",UC31
US026,"As an older person, I would like to be able to zoom into visual content",Zoom,3,Older Person,"['T34', 'T41', 'T43']",UC31
US027,"[Name of the User Story]
1. Ask Dave if the ALFRED app can be installed and downloaded using the smartphone app store

[Example of the User Story]

[Title of the User Story]

2. Will Dave be able to download the app without downloading any apps?

[Example of the User Story]

[Author(s) of the User Story]


3. Will Dave be able to get more information about the ALFRED app?

[Example of the User Story]

[Author(s) of the User Story]

4. Will Dave be able to access the ALFRED site by email?

[Example of the User Story]",Changing demand,3,Older Person,"['T34', 'T44']",UC21
US028,"We use the ALFRED app to manage the old and new users. We use a feature where users are asked to register with the ALFRED app. We can receive the user's name and details such as a contact, social network, date of birth
and mobile phone number.",Communication with entourage,2,Older Person,"['T41', 'T43', 'T54']",UC11
US029,"As an older person, I would like to have video conversation with others",Video Conversation I,4,Older Person,['T43'],UC13
US031,"As an older person, I would like ALFRED to encourage its users for real interaction between humans and not only with ICT-tools",Human Interaction,2,Older Person,"['T43', 'T52', 'T54']",UC13
US032,"- When I am driving along the road in a big traffic jam, ALFRED will be the best app for me to

- What do you like about ALFRED App?
- I like the user interface: The mobile app provides an excellent interactive experience and user feedback

- How should you design a user story?
- User Stories should be simple and concrete but also engaging to the user and provide the user with an

User Story - What do you like about the story?
- I prefer the user interface simple and concrete because it’s a simple app

- What are some common user stories?

- My story would like to have the app built upon my experience and knowledge and I would like",Information about interesting Apps,3,Older Person,"['T41', 'T44', 'T72']",UC21
US033,"1. Provide an opportunity for ALFRED to take a rest.  Give ALFRED a place where he can go to relax while playing music and talk to friends.
2. Provide ALFRED with food and water.  ALFRED can take his food and water and put it in a small pouch which his family will have and feed him with some food and water he will bring.
3. ALFRED will need to wear a small device to make sure he keeps a track of his time
4. ALFRED will have a large, comfortable, bright and very durable computer mouse

What should a new User Story be about:
1. Give a User Story about a device",Customizing Preferences,2,Older Person,"['T34', 'T43', 'T51']",UC21
US035,As an older person I would like to have my data stored directly on the phone,Data storage on Phone,3,Older Person,"['T31', 'T42']",UC14
