id,user_story,title,priority,user_group,tasks,epic
US001,As an older person I would like ALFRED to allow me to search for information about local cemeteries,Personal data,2,Older Person,"['T31', 'T32', 'T34']",UC11
US002,As an older person I would like to ALFRED use my mobile phone to look up new recipes,Speech interaction,1,Older Person,"['T32', 'T41', 'T42', 'T44']",UC12
US003,As an older person I would like use only well-visible buttons,Buttons,2,Older Person,"['T32', 'T33', 'T41']",UC31
US004,As an older person I would like to use ALFRED for navigation,Speech interaction,1,Older Person,"['T32', 'T33', 'T41']",UC12
US005,As an older person I would like to be able ALFRED the older person to help me with my daily tasks,Control,3,Older Person,['T51'],UC11
US006,As an older person I would like to be able to send and receive messages anonymously,Privacy,2,Older Person,"['T34', 'T51']",UC11
US007,As an older person I would like ALFRED to allow me to book time off weekends,Installation,5,Older Person,"['T42', 'T44']",UC11
US008,As an older person I would like to receive support to use my physical features instead of my virtual one,Wearable I,2,Older Person,"['T32', 'T42']",UC21
US009,As an Older person I would like to be able to access the ALFRED app in my home,On mobile support,4,Older Person,"['T32', 'T43']",UC21
US010,As an older person I would like have ALFRED on a bracelet or a necklace so I can always wear him with me,Wearable II,4,Older Person,"['T42', 'T62']",UC32
US011,As an older person I would like to use ALFRED to call on my loved ones,Clear instructions and Troubleshooting,4,Older Person,['T43'],UC11
US012,"As an older person, I would like to have ALFRED speak very slowly and clearly",Clear speaking,3,Older Person,"['T41', 'T43']",UC31
US013,As an older person I would like to have ALFRED assist me to navigate the hospital soothboard,Reaction,4,Older Person,"['T41', 'T43', 'T44']",UC12
US014,"As an older person, I would like to get support to use ALFRED properly",Control,2,Older Person,"['T41', 'T43']",UC12
US015,As an older person I would like ALFRED to make the ALFRED menu look nice and the results in order,Training,3,Older Person,"['T41', 'T43', 'T44', 'T51', 'T61', 'T71']",UC12
US016,"As an older person, I would like to receive ALFRED to use at home with me",Buying,4,Older Person,['T91'],UC21
US017,As an older person I would like to use ALFRED to navigate to important contacts of the day and to call my friends and lovers,Cost of ALFRED,4,Older Person,['T94'],UC11
US018,"As an older person I would like to receive visual support, especially when looking at a list, map or agenda",Visual support,3,Older Person,['T43'],UC31
US019,As an older person I would like to use ALFRED to pay for small amounts,Payments,4,Older Person,"['T42', 'T43']",UC13
US020,As an older person I would like ALFRED to alert me about activities with high risk (eg) biking,Battery,3,Older Person,['T42'],UC21
US021,As an older person I would like to have an app that gives me simple instructions about the daily activities,Low Battery,2,Older Person,['T42'],UC21
US023,"As an older person, I would like ALFRED be easily adapted for user that have visual troubles",Adaptability for vision,2,Older Person,"['T34', 'T41', 'T43']",UC31
US024,"As an older person, I would like ALFRED be easily adapted for user that have hearing troubles",Adaptability for audition,4,Older Person,"['T34', 'T41', 'T43']",UC31
US025,"As an older person, I woule like ALFRED to repeat the last phrase",Repeat,2,Older Person,"['T34', 'T41', 'T43']",UC31
US026,"As an older person, I would like to be able to zoom into visual content",Zoom,3,Older Person,"['T34', 'T41', 'T43']",UC31
US027,As an Older User I woule like ALFRED to encourage me to get up and walk around,Changing demand,3,Older Person,"['T34', 'T44']",UC21
US028,As an older person I would like to receive news about healthy food products in order to maintain a healthy living,Communication with entourage,2,Older Person,"['T41', 'T43', 'T54']",UC11
US029,"As an older person, I would like to have video conversation with others",Video Conversation I,4,Older Person,['T43'],UC13
US031,"As an older person, I would like ALFRED to encourage its users for real interaction between humans and not only with ICT-tools",Human Interaction,2,Older Person,"['T43', 'T52', 'T54']",UC13
US032,"As an older person, I would like to use ALFRED to do simple home repairs and appliances such as radiator and light bulbs",Information about interesting Apps,3,Older Person,"['T41', 'T44', 'T72']",UC21
US033,As an older person I would like to get a reminder message from ALFRED,Customizing Preferences,2,Older Person,"['T34', 'T43', 'T51']",UC21
US035,As an older person I would like to have my data stored directly on the phone,Data storage on Phone,3,Older Person,"['T31', 'T42']",UC14
US036,As an older person I would like to receive a wake up call from ALFRED in the morning checking on me if I am ok,Wake up call,1,Older Person,"['T43', 'T63']",UC23
US037,As an older person I would like to receive reminders to have some sort of a routine,Agenda,3,Older Person,"['T34', 'T42', 'T43', 'T44']",UC12
US038,As an older person I would like to receive support to use the public transport,Public transport,1,Older Person,"['T32', 'T42', 'T43']",UC32
US039,As an older person I would like to use ALFRED for navigation,Navigation,1,Older Person,"['T32', 'T42', 'T43']",UC13
US040,As an older person I would like to use ALFRED for touristic walks and indications with explanations on historical and cultural sights,Tourist information,3,Older Person,"['T32', 'T33', 'T42', 'T43']",UC32
US041,As an older person I would like to receive support to have a taxi on time,Taxi,1,Older Person,"['T41', 'T43']",UC13
US047,As an older person I would like to use ALFRED to watch movies,Media I,4,Older Person,"['T41', 'T42', 'T44']",UC31
US048,As an older person I would like to use ALFRED to hear about the news,Media II,2,Older Person,"['T41', 'T42', 'T44']",UC31
US049,As an older person I would like to use ALFRED to contact help in case of an emergency,Emergency I,2,Older Person,"['T42', 'T61', 'T62', 'T63']",UC32
US051,"As an older person, I would like ALFRED to contact the nearest caregiver when I ask ALFRED for urgent help",Emergency III,3,Older Person,"['T42', 'T61', 'T62', 'T63']",UC23
US052,As an older person I would like to receive a message when my home care nurse is on her way,Home care,4,Older Person,['T43'],UC13
US053,As an older person I would like to receive a medicine reminder from ALFRED,Medicine,1,Older Person,"['T31', 'T43', 'T44', 'T61']",UC23
